"teamid","yearid","w","attendance"
"PHI",1963,87,907141
"SFN",1962,103,1592594
"PHI",1962,81,762034
"PHI",1961,47,590039
"SFN",1961,85,1390679
"SFN",1960,79,1795356
"PHI",1960,59,862205
"SFN",1959,83,1422130
"PHI",1959,64,802815
"PHI",1958,69,931110
"SFN",1958,80,1272625
"PHI",1957,77,1146230
"PHI",1956,71,934798
"PHI",1955,77,922886
"PHI",1954,75,738991
"PHI",1953,83,853644
"PHI",1952,87,755417
"PHI",1951,73,937658
"PHI",1950,91,1217035
"PHI",1949,81,819698
"PHI",1948,66,767429
"PHI",1947,62,907332
"PHI",1946,69,1045247
"PHI",1945,46,285057
"PHI",1944,61,369586
"PHI",1943,64,466975
"PHI",1942,42,230183
"PHI",1941,43,231401
"PHI",1940,50,207177
"PHI",1939,45,277973
"PHI",1938,45,166111
"PHI",1937,61,212790
"PHI",1936,54,249219
"PHI",1935,64,205470
"PHI",1934,56,169885
"PHI",1933,60,156421
"PHI",1932,78,268914
"PHI",1931,66,284849
"PHI",1930,52,299007
"PHI",1929,71,281200
"PHI",1928,43,182168
"PHI",1927,51,305420
"PHI",1926,58,240600
"PHI",1925,68,304905
"PHI",1924,55,299818
"PHI",1923,50,228168
"PHI",1922,57,232471
"PHI",1921,51,273961
"PHI",1920,62,330998
"PHI",1919,47,240424
"PHI",1918,55,122266
"PHI",1917,87,354428
"PHI",1916,91,515365
"PHI",1915,90,449898
"PHI",1914,74,138474
"PHI",1913,88,470000
"PHI",1912,73,250000
"PHI",1911,79,416000
"PHI",1910,78,296597
"PHI",1909,74,303177
"PHI",1908,83,420660
"PHI",1907,83,341216
"PHI",1906,71,294680
"PHI",1905,83,317932
"PHI",1904,52,140771
"PHI",1903,49,151729
"PHI",1902,56,112066
"PHI",1901,83,234937
"PHI",1900,75,301913
"PHI",1899,94,388933
"PHI",1898,78,265414
"PHI",1897,55,290027
"PHI",1896,62,357025
"PHI",1895,78,474971
"PHI",1894,71,352773
"PHI",1893,72,293019
"PHI",1892,87,193731
"PHI",1891,68,217282
"PHI",1890,78,148366
"PHI",1889,63,NULL
"PHI",1888,69,NULL
"PHI",1887,75,NULL
"PHI",1886,71,NULL
"PHI",1885,56,NULL
"PHI",1884,39,NULL
"PHI",1883,17,NULL
